	Brazil_2020_03	Brazil_07_12_2020	Brazil_2020_12	Brazil_2021_01	Brazil_2021_02	Brazil_2021_03	Japan_2020_12	Japan_2021_01	Japan_2021_02	Japan_2021_03	Pangolin	japan_07_12_2020	japan_09_12_2021	akarsh	sweden_07_12_2020	nyc	italy_07_12_2020	Brazil_2020_07	Brazil_2020_08
23063_	0	0.8	100	62.16	37.5	84.61	10.9	11.53	33.33	50	0	0	0.22	0.22	0.29	0	4.77	0	0
23064_	0	0	0	0	0	0	0	0.64	0	0	0	0	0	0	0	2.48	0	0	0
23065_	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0
23603_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23604_	0	0.8	100	24.32	0	0	12.72	10.25	44.44	50	0	0	100	100	0.29	2.48	4.77	0	0
23605_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21766_	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	1.25	0	0
21767_	0	0	0	0	0	0	1.81	0	0	0	0	0	0	0	0	0	0	0	0
21768_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0
21769_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0	0	0
21770_	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	1.25	0	0
21771_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21772_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0
241_	77.41	97.2	50	102.7	98.61	100	100	100	100	100	0	100	100	101.76	104.16	109.67	101	94.4	100
3037_	61.29	96.4	100	100	100	100	100	100	100	100	0	100	100	100	99.7	100	99.74	97.6	100
11083_	6.45	3.6	0	2.7	1.38	0	3.63	10.25	11.11	0	0	0.52	3.744	3.74	0.59	1.48	2.76	4.8	0
14408_	83.87	95.6	100	100	87.5	100	100	100	100	100	32	100	100	100	100	100	99.74	96	100
17747_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49	0	0	0
17858_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18060_	0	0	0	0	0	0	1.81	0	0	0	0	0	0.22	0.22	0	0.24	0	0	0
23403_	83.87	96	100	100	100	100	100	100	100	100	58	100	100	100	100	100	100	96	100
26144_	6.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27046_	9.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0
28144_	3.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28881_	25.8	94.8	100	100	100	100	45.45	46.15	66.66	100	58	99.73	100	100	54.46	39.45	32.41	91.2	100
28882_	25.8	94.8	100	100	100	100	45.45	46.15	66.66	100	0	99.73	0.22	0.22	54.46	39.45	32.41	91.2	100
28883_	25.8	94.8	100	100	100	100	45.45	46.15	66.66	100	0	99.73	0.22	0.22	54.46	39.45	32.66	91.2	100
